,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
n-back_3_總分,,,,,,,,,,,95%,,N,94%,,N,92%,,,,,,,
n-back_4_1,,,,,,,,,,,,,,,,,,,100%,100%,,100%,,
n-back_4_2,,,,,,,,,,,,,,,,,,,100%,100%,,100%,,
n-back_4_3,,,,,,,,,,,,,,,,,,,100%,100%,,100%,,
n-back_4_總分,,,,,,,,,,,,,,,,,,,100%,100%,,100%,,
n-back_5_1,,,,,,,,,,,,,,,,,,,,,,,100%,
n-back_5_2,,,,,,,,,,,,,,,,,,,,,,,100%,
n-back_5_3,,,,,,,,,,,,,,,,,,,,,,,94%,
n-back_5_總分,,,,,,,,,,,,,,,,,,,,,,,88%,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,96%,96%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,100%,100%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,88%,88%,,,,,,,,,,,,
