,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,
switching_1_1,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_2,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_3,,90%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_4,,100%,95%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_5,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_總分,,99%,99%,100%,,,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,100%,70%,,90%,,,40%,40%,,50%,55%,,50%,40%,,50%,N,,50%,
switching_2_2,,,,,100%,80%,,80%,,,60%,70%,,80%,85%,,70%,80%,,60%,N,,70%,
switching_2_3,,,,,100%,70%,,80%,,,60%,80%,,90%,90%,,50%,90%,,80%,N,,70%,
switching_2_4,,,,,100%,70%,,75%,,,65%,55%,,65%,70%,,60%,65%,,65%,N,,60%,
switching_2_5,,,,,100%,75%,,85%,,,70%,70%,,80%,85%,,80%,75%,,65%,N,,70%,
switching_2_總分,,,,,100%,73%,,81%,,,61%,63%,,73%,77%,,64%,70%,,64%,N,,64%,
switching_3_1,,,,,,,, ,,,,,,,,,,,,,,,,
switching_3_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_2,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_4,100%,,90%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,100%,,97%,100%,,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_2,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_3,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_4,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_5,,,,,95%,,95%,,100%,,,,,,,,,,,,,,,
inhibition_2_總分,,,,,99%,,99%,,100%,,,,,,,,,,,,,,,
inhibition_3_1,,,,,,,,,,100%,,100%,N,,100%,,,,,,,,,
inhibition_3_2,,,,,,,,,,100%,,100%,N,,100%,,,,,,,,,
inhibition_3_3,,,,,,,,,,100%,,100%,N,,100%,,,,,,,,,
inhibition_3_4,,,,,,,,,,100%,,100%,N,,100%,,,,,,,,,
inhibition_3_5,,,,,,,,,,100%,,98%,N,,98%,,,,,,,,,
inhibition_3_總分,,,,,,,,,,100%,,99%,N,,99%,,,,,,,,,
inhibition_4_1,,,,,,,,,,,,,,,,100%,,100%,1005,,,,,
inhibition_4_2,,,,,,,,,,,,,,,,80%,,100%,805,,,,,
inhibition_4_3,,,,,,,,,,,,,,,,100%,,100%,100%,,,,,
inhibition_4_4,,,,,,,,,,,,,,,,95%,,95%,100%,,,,,
inhibition_4_5,,,,,,,,,,,,,,,,98%,,95%,98%,,,,,
inhibition_4_總分,,,,,,,,,,,,,,,,96%,,96%,97%,,,,,
inhibition_5_1,,,,,,,,,,,,,,,,,,,,,N,100%,,
inhibition_5_2,,,,,,,,,,,,,,,,,,,,,N,80%,,
inhibition_5_3,,,,,,,,,,,,,,,,,,,,,N,100%,,
inhibition_5_4,,,,,,,,,,,,,,,,,,,,,N,100%,,
inhibition_5_5,,,,,,,,,,,,,,,,,,,,,N,96%,,
inhibition_5_總分,,,,,,,,,,,,,,,,,,,,,N,96%,,
inhibition_6_1,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_2,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_3,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_4,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_5,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
n-back_1_1,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_2,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_3,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_總分,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_2_1,,,,,,,100%,100%,99%,,,,,,,,,,,,,,,
n-back_2_2,,,,,,,90%,100%,100%,,,,,,,,,,,,,,,
n-back_2_3,,,,,,,100%,96%,100%,,,,,,,,,,,,,,,
n-back_2_總分,,,,,,,97%,99%,100%,,,,,,,,,,,,,,,
n-back_3_1,,,,,,,,,,100%,100%,,N,100%,,,,,,,,,,
n-back_3_2,,,,,,,,,,77%,79%,,N,89%,,,,,,,,,,
n-back_3_3,,,,,,,,,,88%,94%,,N,96%,,,,,,,,,,
n-back_3_總分,,,,,,,,,,89%,91%,,N,95%,,,,,,,,,,
n-back_4_1,,,,,,,,,,,,,,,,83%,100%,,100%,,,,,
n-back_4_2,,,,,,,,,,,,,,,,90%,100%,,100%,,,,,
n-back_4_3,,,,,,,,,,,,,,,,97%,96%,,98%,,,,,
n-back_4_總分,,,,,,,,,,,,,,,,90%,99%,,99%,,,,,
n-back_5_1,,,,,,,,,,,,,,,,,,,,100%,,100%,100%,
n-back_5_2,,,,,,,,,,,,,,,,,,,,93%,,87%,91%,
n-back_5_3,,,,,,,,,,,,,,,,,,,,88%,,88%,92%,
n-back_5_總分,,,,,,,,,,,,,,,,,,,,94%,,92%,94%,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,100%,100%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,100%,95%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,96%,96%,,,,,,,,,,,,
