,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,
switching_1_1,,50%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_2,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_3,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_4,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_5,,95%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_總分,,91%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,100%,30%,,80%,,,40%,60%,,70%,75%,,60%,60%,,N,90%,,90%,
switching_2_2,,,,,100%,50%,,50%,,,60%,70%,,50%,55%,,70%,50%,,N,60%,,60%,
switching_2_3,,,,,100%,80%,,90%,,,80%,80%,,70%,75%,,70%,90%,,N,90%,,90%,
switching_2_4,,,,,100%,80%,,85%,,,55%,75%,,70%,75%,,70%,85%,,N,85%,,70%,
switching_2_5,,,,,100%,90%,,65%,,,70%,60%,,50%,60%,,84%,100%,,N,85%,,90%,
switching_2_總分,,,,,100%,71%,,74%,,,61%,69%,,61%,68%,,73%,81%,,N,83%,,80%,
switching_3_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_2,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_4,100%,,100%,95%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,100%,,100%,99%,,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_2,,,,,100%,,100%,,90%,,,,,,,,,,,,,,,
inhibition_2_3,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_4,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_5,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_總分,,,,,100%,,100%,,99%,,,,,,,,,,,,,,,
inhibition_3_1,,,,,,,,,,90%,,100%,100%,,,,,,,,,,,
inhibition_3_2,,,,,,,,,,90%,,70%,100%,,,,,,,,,,,
inhibition_3_3,,,,,,,,,,100%,,100%,100%,,,,,,,,,,,
inhibition_3_4,,,,,,,,,,90%,,100%,90%,,,,,,,,,,,
inhibition_3_5,,,,,,,,,,80%,,84%,68%,,,,,,,,,,,
inhibition_3_總分,,,,,,,,,,86%,,89%,82%,,,,,,,,,,,
inhibition_4_1,,,,,,,,,,,,,,,100%,100%,,100%,,,,,,
inhibition_4_2,,,,,,,,,,,,,,,80%,80%,,80%,,,,,,
inhibition_4_3,,,,,,,,,,,,,,,90%,100%,,100%,,,,,,
inhibition_4_4,,,,,,,,,,,,,,,90%,100%,,100%,,,,,,
inhibition_4_5,,,,,,,,,,,,,,,88%,84%,,94%,,,,,,
inhibition_4_總分,,,,,,,,,,,,,,,88%,88%,,95%,,,,,,
inhibition_5_1,,,,,,,,,,,,,,,,,,,90%,,100%,100%,,
inhibition_5_2,,,,,,,,,,,,,,,,,,,80%,,80%,70%,,
inhibition_5_3,,,,,,,,,,,,,,,,,,,90%,,80%,90%,,
inhibition_5_4,,,,,,,,,,,,,,,,,,,90%,,85%,95%,,
inhibition_5_5,,,,,,,,,,,,,,,,,,,88%,,88%,94%,,
inhibition_5_總分,,,,,,,,,,,,,,,,,,,88%,,87%,92%,,
inhibition_6_1,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_2,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_3,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_4,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_5,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
n-back_1_1,100%,91%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_2,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_3,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_總分,100%,97%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_2_1,,,,,,,100%,100%,100%,,,,,,,,,,,,,,,
n-back_2_2,,,,,,,100%,99%,96%,,,,,,,,,,,,,,,
n-back_2_3,,,,,,,100%,85%,96%,,,,,,,,,,,,,,,
n-back_2_總分,,,,,,,100%,95%,97%,,,,,,,,,,,,,,,
n-back_3_1,,,,,,,,,,100%,100%,,100%,,,,,,,,,,,
n-back_3_2,,,,,,,,,,76%,77%,,74%,,,,,,,,,,,
n-back_3_3,,,,,,,,,,84%,89%,,78%,,,,,,,,,,,
n-back_3_總分,,,,,,,,,,87%,89%,,84%,,,,,,,,,,,
n-back_4_1,,,,,,,,,,,,,,85%,,91%,87%,,,,,,,
n-back_4_2,,,,,,,,,,,,,,80%,,97%,98%,,,,,,,
n-back_4_3,,,,,,,,,,,,,,79%,,92%,95%,,,,,,,
n-back_4_總分,,,,,,,,,,,,,,81%,,93%,93%,,,,,,,
n-back_5_1,,,,,,,,,,,,,,,,,,,98%,N,,82%,98%,
n-back_5_2,,,,,,,,,,,,,,,,,,,90%,N,,79%,80%,
n-back_5_3,,,,,,,,,,,,,,,,,,,90%,N,,81%,91%,
n-back_5_總分,,,,,,,,,,,,,,,,,,,93%,N,,81%,90%,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,92%,92%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,100%,88%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,80%,92%,,,,,,,,,,,,
