,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,
switching_1_1,,60%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_2,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_3,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_4,,100%,100%,95%,,,,,,,,,,,,,,,,,,,,
switching_1_5,,100%,100%,100%,,,,,,,,,,,,,,,,,,,,
switching_1_總分,,94%,100%,99%,,,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,100%,30%,,50%,,,60%,80%,,70%,75%,,70%,,,,,,,
switching_2_2,,,,,100%,80%,,70%,,,70%,70%,,70%,75%,,80%,,,,,,,
switching_2_3,,,,,100%,70%,,80%,,,80%,80%,,80%,85%,,90%,,,,,,,
switching_2_4,,,,,100%,70%,,60%,,,85%,70%,,70%,75%,,85%,,,,,,,
switching_2_5,,,,,100%,70%,,75%,,,75%,90%,,90%,90%,,85%,,,,,,,
switching_2_總分,,,,,100%,66%,,67%,,,76%,79%,,77%,80%,,83%,,,,,,,
switching_3_1,,,,,,,,,,,,,,,,,,100%,,90%,100%,,,
switching_3_2,,,,,,,,,,,,,,,,,,50%,,80%,90%,,,
switching_3_3,,,,,,,,,,,,,,,,,,100%,,90%,100%,,,
switching_3_4,,,,,,,,,,,,,,,,,,75%,,60%,90%,,,
switching_3_5,,,,,,,,,,,,,,,,,,85%,,80%,70%,,,
switching_3_總分,,,,,,,,,,,,,,,,,,81%,,77%,87%,,,
switching_4_1,,,,,,,,,,,,,,,,,,,,,,,80%,
switching_4_2,,,,,,,,,,,,,,,,,,,,,,,100%,
switching_4_3,,,,,,,,,,,,,,,,,,,,,,,90%,
switching_4_4,,,,,,,,,,,,,,,,,,,,,,,70%,
switching_4_5,,,,,,,,,,,,,,,,,,,,,,,84%,
switching_4_總分,,,,,,,,,,,,,,,,,,,,,,,83%,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
