,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
inhibtion_1_2,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_4,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,100%,,100%,100%,,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_2,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_3,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_4,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_5,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_總分,,,,,100%,,100%,,100%,,,,,,,,,,,,,,,
inhibition_3_1,,,,,,,,,,100%,,100%,100%,,,,,,,,,,,
inhibition_3_2,,,,,,,,,,90%,,90%,100%,,,,,,,,,,,
inhibition_3_3,,,,,,,,,,100%,,80%,100%,,,,,,,,,,,
inhibition_3_4,,,,,,,,,,85%,,100%,100%,,,,,,,,,,,
inhibition_3_5,,,,,,,,,,96%,,98%,92%,,,,,,,,,,,
inhibition_3_總分,,,,,,,,,,94%,,96%,96%,,,,,,,,,,,
inhibition_4_1,,,,,,,,,,,,,,,100%,100%,,100%,,,,,,
inhibition_4_2,,,,,,,,,,,,,,,70%,60%,,100%,,,,,,
inhibition_4_3,,,,,,,,,,,,,,,100%,100%,,100%,,,,,,
inhibition_4_4,,,,,,,,,,,,,,,95%,90%,,100%,,,,,,
inhibition_4_5,,,,,,,,,,,,,,,96%,99%,,98%,,,,,,
inhibition_4_總分,,,,,,,,,,,,,,,95%,95%,,98%,,,,,,
inhibition_5_1,,,,,,,,,,,,,,,,,,,90%,,100%,100%,,
inhibition_5_2,,,,,,,,,,,,,,,,,,,60%,,60%,60%,,
inhibition_5_3,,,,,,,,,,,,,,,,,,,90%,,100%,100%,,
inhibition_5_4,,,,,,,,,,,,,,,,,,,85%,,95%,90%,,
inhibition_5_5,,,,,,,,,,,,,,,,,,,76%,,79%,79%,,
inhibition_5_總分,,,,,,,,,,,,,,,,,,,78%,,83%,82%,,
inhibition_6_1,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_2,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_3,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_4,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_5,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
n-back_1_1,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_2,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_3,100%,100%,,,,90%,,,,,,,,,,,,,,,,,,
n-back_1_總分,100%,100%,,,,97%,,,,,,,,,,,,,,,,,,
n-back_2_1,,,,,,,100%,100%,100%,,,,,,,,,,,,,,,
n-back_2_2,,,,,,,100%,100%,100%,,,,,,,,,,,,,,,
n-back_2_3,,,,,,,100%,97%,95%,,,,,,,,,,,,,,,
n-back_2_總分,,,,,,,100%,99%,98%,,,,,,,,,,,,,,,
n-back_3_1,,,,,,,,,,100%,100%,,100%,,,,,,,,,,,
n-back_3_2,,,,,,,,,,74%,81%,,83%,,,,,,,,,,,
n-back_3_3,,,,,,,,,,83%,78%,,82%,,,,,,,,,,,
n-back_3_總分,,,,,,,,,,86%,86%,,88%,,,,,,,,,,,
n-back_4_1,,,,,,,,,,,,,,97%,,89%,91%,,,,,,,
n-back_4_2,,,,,,,,,,,,,,89%,,96%,94%,,,,,,,
n-back_4_3,,,,,,,,,,,,,,83%,,90%,84%,,,,,,,
n-back_4_總分,,,,,,,,,,,,,,90%,,92%,90%,,,,,,,
n-back_5_1,,,,,,,,,,,,,,,,,,,96%,100%,,89%,,
n-back_5_2,,,,,,,,,,,,,,,,,,,86%,93%,,86%,,
n-back_5_3,,,,,,,,,,,,,,,,,,,81%,73%,,87%,,
n-back_5_總分,,,,,,,,,,,,,,,,,,,88%,89%,,87%,,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,,,82%,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,100%,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,79%,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,87%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,100%,88%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,95%,95%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,96%,92%,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,
