,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
出席,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,
,,,,,,,,,,,,,,,,,,,,,,,,
switching_1_1,,20%,N,90%,100%,,,,,,,,,,,,,,,,,,,
switching_1_2,,100%,N,90%,100%,,,,,,,,,,,,,,,,,,,
switching_1_3,,80%,N,100%,100%,,,,,,,,,,,,,,,,,,,
switching_1_4,,95%,N,100%,100%,,,,,,,,,,,,,,,,,,,
switching_1_5,,100%,N,100%,100%,,,,,,,,,,,,,,,,,,,
switching_1_總分,,84%,N,97%,100%,,,,,,,,,,,,,,,,,,,
switching_2_1,,,,,,60%,,60%,,,50%,50%,,50%,N,,60%,60%,,N,?,,E,
switching_2_2,,,,,,80%,,80%,,,80%,70%,,80%,N,,80%,70%,,N,?,,E,
switching_2_3,,,,,,80%,,80%,,,60%,90%,,90%,N,,90%,90%,,N,?,,E,
switching_2_4,,,,,,65%,,50%,,,65%,70%,,60%,N,,65%,65%,,N,?,,E,
switching_2_5,,,,,,55%,,80%,,,70%,55%,,80%,N,,70%,80%,,N,?,,E,
switching_2_總分,,,,,,66%,,69%,,,66%,66%,,71%,N,,71%,73%,,N,?,,E,
switching_3_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_3_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_4_總分,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_1,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_2,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_3,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_4,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_5,,,,,,,,,,,,,,,,,,,,,,,,
switching_5_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
inhibtion_1_1,100%,,N,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_2,100%,,N,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_3,100%,,N,90%,100%,,,,,,,,,,,,,,,,,,,
