,session1,session2,session3,session4,session5,session6,session7,session8,session9,session10,session11,session12,session13,session14,session15,session16,session17,session18,session19,session20,session21,session22,session23,session24
inhibtion_1_4,100%,,N,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_5,100%,,N,100%,100%,,,,,,,,,,,,,,,,,,,
inhibtion_1_總分,100%,,N,99%,100%,,,,,,,,,,,,,,,,,,,
inhibition_2_1,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_2,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_3,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_4,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_5,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_2_總分,,,,,,100%,100%,,100%,,,,,,,,,,,,,,,
inhibition_3_1,,,,,,,,,,100%,,100%,100%,,,,,,,,,,,
inhibition_3_2,,,,,,,,,,100%,,100%,90%,,,,,,,,,,,
inhibition_3_3,,,,,,,,,,100%,,100%,100%,,,,,,,,,,,
inhibition_3_4,,,,,,,,,,100%,,100%,100%,,,,,,,,,,,
inhibition_3_5,,,,,,,,,,100%,,100%,96%,,,,,,,,,,,
inhibition_3_總分,,,,,,,,,,100%,,100%,97%,,,,,,,,,,,
inhibition_4_1,,,,,,,,,,,,,,,N,100%,,100%,100%,,,,,
inhibition_4_2,,,,,,,,,,,,,,,N,90%,,90%,90%,,,,,
inhibition_4_3,,,,,,,,,,,,,,,N,100%,,100%,100%,,,,,
inhibition_4_4,,,,,,,,,,,,,,,N,95%,,95%,95%,,,,,
inhibition_4_5,,,,,,,,,,,,,,,N,91%,,98%,98%,,,,,
inhibition_4_總分,,,,,,,,,,,,,,,N,93%,,97%,97%,,,,,
inhibition_5_1,,,,,,,,,,,,,,,,,,,,,?,100%,,
inhibition_5_2,,,,,,,,,,,,,,,,,,,,,?,80%,,
inhibition_5_3,,,,,,,,,,,,,,,,,,,,,?,100%,,
inhibition_5_4,,,,,,,,,,,,,,,,,,,,,?,95%,,
inhibition_5_5,,,,,,,,,,,,,,,,,,,,,?,95%,,
inhibition_5_總分,,,,,,,,,,,,,,,,,,,,,?,95%,,
inhibition_6_1,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_2,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_3,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_4,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_5,,,,,,,,,,,,,,,,,,,,,,,,
inhibition_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
n-back_1_1,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_2,100%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_3,95%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_1_總分,98%,100%,,,,100%,,,,,,,,,,,,,,,,,,
n-back_2_1,,,,,,,100%,100%,100%,,,,,,,,,,,,,,,
n-back_2_2,,,,,,,99%,99%,99%,,,,,,,,,,,,,,,
n-back_2_3,,,,,,,88%,88%,92%,,,,,,,,,,,,,,,
n-back_2_總分,,,,,,,96%,96%,97%,,,,,,,,,,,,,,,
n-back_3_1,,,,,,,,,,100%,100%,,100%,,,,,,,,,,,
n-back_3_2,,,,,,,,,,70%,71%,,61%,,,,,,,,,,,
n-back_3_3,,,,,,,,,,84%,56%,,76%,,,,,,,,,,,
n-back_3_總分,,,,,,,,,,85%,76%,,79%,,,,,,,,,,,
n-back_4_1,,,,,,,,,,,,,,85%,,70%,65%,,80%,N,,83%,E,
n-back_4_2,,,,,,,,,,,,,,77%,,65%,65%,,56%,N,,85%,E,
n-back_4_3,,,,,,,,,,,,,,66%,,68%,58%,,63%,N,,82%,E,
n-back_4_總分,,,,,,,,,,,,,,76%,,68%,61%,,66%,N,,83%,E,
n-back_5_1,,,,,,,,,,,,,,,,,,,,,,,,
n-back_5_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_5_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_5_總分,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_1,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_2,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_3,,,,,,,,,,,,,,,,,,,,,,,,
n-back_6_總分,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
memory_word_3,,,,,,,100%,92%,,,,,,,,,,,,,,,,
memory_word_2,,,,,,,,,100%,92%,,,,,,,,,,,,,,
memory_word_6,,,,,,,,,,,88%,,,,,,,,,,,,,
