Task,Level,sessions,ACC,Subj.num
Inhibition,4,10,0.97,S406
Inhibition,4,11,0.98,S406
Inhibition,4,12,0.98,S406
Inhibition,5,13,0.96,S406
Inhibition,5,14,0.96,S406
Inhibition,5,15,0.95,S406
Inhibition,6,16,0.54,S406
NBack,1,1,0.99,S407
NBack,1,2,0.99,S407
NBack,1,3,1,S407
NBack,2,4,0.99,S407
NBack,2,5,0.99,S407
NBack,2,6,1,S407
NBack,3,7,,S407
NBack,3,8,0.93,S407
NBack,3,9,0.96,S407
NBack,3,10,0.95,S407
NBack,3,11,0.99,S407
NBack,4,12,0.89,S407
NBack,4,13,0.9,S407
NBack,4,14,0.89,S407
NBack,5,15,0.88,S407
NBack,5,16,0.83,S407
NBack,,17,,S407
Switching,1,1,0.93,S407
Switching,1,2,0.99,S407
Switching,1,3,0.99,S407
Switching,2,4,0.76,S407
Switching,2,5,0.86,S407
Switching,2,6,0.89,S407
Switching,2,7,0.86,S407
Switching,3,8,0.9,S407
Switching,3,9,0.94,S407
Switching,3,10,0.93,S407
Switching,3,11,0.93,S407
Switching,4,12,0.87,S407
Switching,4,13,0.86,S407
Switching,4,14,0.87,S407
Switching,5,15,0.89,S407
Switching,5,16,0.91,S407
Inhibition,1,1,1,S407
Inhibition,1,2,1,S407
Inhibition,1,3,1,S407
Inhibition,2,4,1,S407
Inhibition,2,5,1,S407
Inhibition,2,6,1,S407
Inhibition,3,7,,S407
Inhibition,3,8,1,S407
Inhibition,3,9,0.99,S407
Inhibition,3,10,1,S407
Inhibition,4,11,0.97,S407
Inhibition,4,12,1,S407
Inhibition,4,13,0.98,S407
Inhibition,5,14,0.97,S407
Inhibition,5,15,0.96,S407
Inhibition,5,16,0.98,S407
NBack,1,1,0.99,S408
NBack,1,2,1,S408
NBack,1,3,1,S408
NBack,2,4,1,S408
NBack,2,5,1,S408
NBack,2,6,0.99,S408
NBack,3,7,0.72,S408
NBack,3,8,0.84,S408
NBack,3,9,0.96,S408
NBack,4,10,0.83,S408
NBack,4,11,0.89,S408
NBack,4,12,0.88,S408
NBack,5,13,0.88,S408
NBack,5,14,0.85,S408
NBack,5,15,0.82,S408
NBack,5,16,0.72,S408
NBack,,17,,S408
Switching,1,1,0.97,S408
Switching,1,2,1,S408
Switching,1,3,1,S408
Switching,2,4,0.77,S408
Switching,2,5,0.83,S408
Switching,2,6,0.81,S408
Switching,2,7,0.84,S408
Switching,3,8,0.9,S408
Switching,3,9,0.91,S408
Switching,3,10,0.9,S408
Switching,4,11,0.9,S408
Switching,4,12,0.87,S408
Switching,4,13,0.87,S408
Switching,5,14,0.81,S408
Switching,5,15,0.87,S408
Switching,5,16,0.8,S408
Inhibition,1,1,1,S408
Inhibition,1,2,1,S408
Inhibition,1,3,1,S408
Inhibition,2,4,0.99,S408
Inhibition,2,5,0.97,S408
Inhibition,2,6,1,S408
Inhibition,3,7,0.94,S408
Inhibition,3,8,1,S408
Inhibition,3,9,0.99,S408
Inhibition,4,10,0.94,S408
Inhibition,4,11,0.91,S408
Inhibition,4,12,0.95,S408
Inhibition,5,13,0.95,S408
Inhibition,5,14,0.95,S408
Inhibition,5,15,0.98,S408
Inhibition,6,16,0.63,S408
NBack,1,1,0.98,S025
NBack,1,2,1,S025
NBack,1,3,0.97,S025
NBack,2,4,1,S025
NBack,2,5,0.99,S025
NBack,2,6,0.96,S025
NBack,3,7,0.69,S025
NBack,3,8,0.65,S025
NBack,3,9,0.66,S025
NBack,3,10,0.82,S025
NBack,3,11,0.79,S025
NBack,3,12,0.74,S025
NBack,3,13,0.76,S025
NBack,3,14,0.85,S025
NBack,3,15,0.83,S025
NBack,4,16,0.78,S025
NBack,4,17,0.85,S025
Switching,1,1,0.99,S025
Switching,1,2,0.93,S025
Switching,2,3,0.6,S025
Switching,2,4,0.66,S025
Switching,2,5,0.87,S025
Switching,2,6,0.8,S025
Switching,3,7,0.64,S025
Switching,3,8,0.71,S025
Switching,3,9,0.89,S025
Switching,3,10,0.84,S025
Switching,3,11,0.89,S025
Switching,4,12,0.82,S025
Switching,4,13,0.89,S025
Switching,4,14,0.94,S025
Switching,5,15,0.77,S025
Switching,5,16,0.74,S025
Inhibition,1,1,0.99,S025
Inhibition,1,2,1,S025
Inhibition,2,3,0.99,S025
Inhibition,2,4,1,S025
Inhibition,3,5,0.89,S025
Inhibition,3,6,0.97,S025
Inhibition,3,7,0.95,S025
Inhibition,4,8,0.91,S025
Inhibition,4,9,0.94,S025
Inhibition,4,10,0.93,S025
Inhibition,5,11,0.83,S025
Inhibition,5,12,0.87,S025
Inhibition,5,13,0.84,S025
Inhibition,6,14,0.38,S025
Inhibition,6,15,0.38,S025
Inhibition,,16,,S025
NBack,1,1,1,S026
NBack,1,2,1,S026
NBack,1,3,0.96,S026
NBack,2,4,1,S026
NBack,2,5,0.97,S026
NBack,2,6,0.93,S026
NBack,3,7,0.79,S026
NBack,3,8,0.77,S026
NBack,3,9,0.78,S026
NBack,3,10,0.85,S026
NBack,3,11,0.87,S026
NBack,4,12,0.83,S026
NBack,4,13,0.84,S026
NBack,4,14,0.86,S026
NBack,4,15,0.94,S026
NBack,5,16,0.85,S026
NBack,5,17,0.77,S026
Switching,1,1,1,S026
Switching,1,2,1,S026
Switching,2,3,0.8,S026
Switching,2,4,0.81,S026
Switching,2,5,0.87,S026
Switching,2,6,0.86,S026
Switching,3,7,0.91,S026
Switching,3,8,0.94,S026
Switching,3,9,0.97,S026
Switching,3,10,0.96,S026
Switching,3,11,0.98,S026
Switching,4,12,0.99,S026
Switching,4,13,0.94,S026
Switching,4,14,0.99,S026
Switching,5,15,0.96,S026
Switching,5,16,0.8,S026
Inhibition,1,1,0.99,S026
Inhibition,1,2,1,S026
Inhibition,2,3,0.97,S026
Inhibition,2,4,0.99,S026
Inhibition,3,5,0.99,S026
Inhibition,3,6,0.99,S026
Inhibition,3,7,0.99,S026
Inhibition,4,8,0.88,S026
Inhibition,4,9,0.95,S026
Inhibition,4,10,0.98,S026
Inhibition,5,11,0.86,S026
Inhibition,5,12,0.85,S026
Inhibition,5,13,0.94,S026
Inhibition,6,14,0.58,S026
Inhibition,6,15,0.59,S026
Inhibition,,16,,S026
NBack,1,1,1,S028
NBack,1,2,1,S028
NBack,1,3,0.97,S028
